"Series";"Time";"Value"
"js3-node1";"2018-08-02T21:26:20-04:00";null
"js3-node1";"2018-08-02T21:26:40-04:00";null
"js3-node1";"2018-08-02T21:27:00-04:00";null
"js3-node1";"2018-08-02T21:27:20-04:00";null
"js3-node1";"2018-08-02T21:27:40-04:00";0
"js3-node1";"2018-08-02T21:28:00-04:00";null
"js3-node1";"2018-08-02T21:28:20-04:00";null
"js3-node1";"2018-08-02T21:28:40-04:00";null
"js3-node1";"2018-08-02T21:29:00-04:00";null
"js3-node1";"2018-08-02T21:29:20-04:00";null
"js3-node1";"2018-08-02T21:29:40-04:00";null
"js3-node1";"2018-08-02T21:30:00-04:00";null
"js3-node1";"2018-08-02T21:30:20-04:00";null
"js3-node1";"2018-08-02T21:30:40-04:00";0
"js3-node1";"2018-08-02T21:31:00-04:00";null
"js3-node1";"2018-08-02T21:31:20-04:00";null
"js3-node1";"2018-08-02T21:31:40-04:00";null
"js3-node1";"2018-08-02T21:32:00-04:00";null
"js3-node1";"2018-08-02T21:32:20-04:00";null
"js3-node1";"2018-08-02T21:32:40-04:00";null
"js3-node1";"2018-08-02T21:33:00-04:00";null
"js3-node1";"2018-08-02T21:33:20-04:00";null
"js3-node1";"2018-08-02T21:33:40-04:00";0
"js3-node1";"2018-08-02T21:34:00-04:00";null
"js3-node1";"2018-08-02T21:34:20-04:00";null
"js3-node1";"2018-08-02T21:34:40-04:00";null
"js3-node1";"2018-08-02T21:35:00-04:00";null
"js3-node1";"2018-08-02T21:35:20-04:00";null
"js3-node1";"2018-08-02T21:35:40-04:00";null
"js3-node1";"2018-08-02T21:36:00-04:00";null
"js3-node1";"2018-08-02T21:36:20-04:00";null
"js3-node1";"2018-08-02T21:36:40-04:00";0
"js3-node1";"2018-08-02T21:37:00-04:00";null
"js3-node1";"2018-08-02T21:37:20-04:00";null
"js3-node1";"2018-08-02T21:37:40-04:00";null
"js3-node1";"2018-08-02T21:38:00-04:00";null
"js3-node1";"2018-08-02T21:38:20-04:00";null
"js3-node1";"2018-08-02T21:38:40-04:00";null
"js3-node1";"2018-08-02T21:39:00-04:00";null
"js3-node1";"2018-08-02T21:39:20-04:00";null
"js3-node1";"2018-08-02T21:39:40-04:00";0
"js3-node1";"2018-08-02T21:40:00-04:00";null
"js3-node1";"2018-08-02T21:40:20-04:00";null
"js3-node1";"2018-08-02T21:40:40-04:00";null
"js3-node1";"2018-08-02T21:41:00-04:00";null
"js3-node1";"2018-08-02T21:41:20-04:00";null
"js3-node1";"2018-08-02T21:41:40-04:00";null
"js3-node1";"2018-08-02T21:42:00-04:00";null
"js3-node1";"2018-08-02T21:42:20-04:00";null
"js3-node1";"2018-08-02T21:42:40-04:00";0
"js3-node1";"2018-08-02T21:43:00-04:00";null
"js3-node1";"2018-08-02T21:43:20-04:00";null
"js3-node1";"2018-08-02T21:43:40-04:00";null
"js3-node1";"2018-08-02T21:44:00-04:00";null
"js3-node1";"2018-08-02T21:44:20-04:00";null
"js3-node1";"2018-08-02T21:44:40-04:00";null
"js3-node1";"2018-08-02T21:45:00-04:00";null
"js3-node1";"2018-08-02T21:45:20-04:00";null
"js3-node1";"2018-08-02T21:45:40-04:00";0
"js3-node1";"2018-08-02T21:46:00-04:00";null
"js3-node1";"2018-08-02T21:46:20-04:00";null
"js3-node1";"2018-08-02T21:46:40-04:00";null
"js3-node1";"2018-08-02T21:47:00-04:00";null
"js3-node1";"2018-08-02T21:47:20-04:00";null
"js3-node1";"2018-08-02T21:47:40-04:00";null
"js3-node1";"2018-08-02T21:48:00-04:00";null
"js3-node1";"2018-08-02T21:48:20-04:00";null
"js3-node1";"2018-08-02T21:48:40-04:00";0
"js3-node1";"2018-08-02T21:49:00-04:00";null
"js3-node1";"2018-08-02T21:49:20-04:00";null
"js3-node1";"2018-08-02T21:49:40-04:00";null
"js3-node1";"2018-08-02T21:50:00-04:00";null
"js3-node1";"2018-08-02T21:50:20-04:00";null
"js3-node1";"2018-08-02T21:50:40-04:00";null
"js3-node1";"2018-08-02T21:51:00-04:00";null
"js3-node1";"2018-08-02T21:51:20-04:00";null
"js3-node1";"2018-08-02T21:51:40-04:00";0
"js3-node1";"2018-08-02T21:52:00-04:00";null
"js3-node1";"2018-08-02T21:52:20-04:00";null
"js3-node1";"2018-08-02T21:52:40-04:00";null
"js3-node1";"2018-08-02T21:53:00-04:00";null
"js3-node1";"2018-08-02T21:53:20-04:00";null
"js3-node1";"2018-08-02T21:53:40-04:00";null
"js3-node1";"2018-08-02T21:54:00-04:00";null
"js3-node1";"2018-08-02T21:54:20-04:00";null
"js3-node1";"2018-08-02T21:54:40-04:00";0
"js3-node1";"2018-08-02T21:55:00-04:00";null
"js3-node1";"2018-08-02T21:55:20-04:00";null
"js3-node1";"2018-08-02T21:55:40-04:00";null
"js3-node1";"2018-08-02T21:56:00-04:00";null
"js3-node1";"2018-08-02T21:56:20-04:00";null
"js3-node1";"2018-08-02T21:56:40-04:00";null
"js3-node1";"2018-08-02T21:57:00-04:00";null
"js3-node1";"2018-08-02T21:57:20-04:00";null
"js3-node1";"2018-08-02T21:57:40-04:00";0
"js3-node1";"2018-08-02T21:58:00-04:00";null
"js3-node1";"2018-08-02T21:58:20-04:00";null
"js3-node1";"2018-08-02T21:58:40-04:00";null
"js3-node1";"2018-08-02T21:59:00-04:00";null
"js3-node1";"2018-08-02T21:59:20-04:00";null
"js3-node1";"2018-08-02T21:59:40-04:00";null
"js3-node1";"2018-08-02T22:00:00-04:00";null
"js3-node1";"2018-08-02T22:00:20-04:00";null
"js3-node1";"2018-08-02T22:00:40-04:00";0
"js3-node1";"2018-08-02T22:01:00-04:00";null
"js3-node1";"2018-08-02T22:01:20-04:00";null
"js3-node1";"2018-08-02T22:01:40-04:00";null
"js3-node1";"2018-08-02T22:02:00-04:00";null
"js3-node1";"2018-08-02T22:02:20-04:00";null
"js3-node1";"2018-08-02T22:02:40-04:00";null
"js3-node1";"2018-08-02T22:03:00-04:00";null
"js3-node1";"2018-08-02T22:03:20-04:00";null
"js3-node1";"2018-08-02T22:03:40-04:00";0
"js3-node1";"2018-08-02T22:04:00-04:00";null
"js3-node1";"2018-08-02T22:04:20-04:00";null
"js3-node1";"2018-08-02T22:04:40-04:00";null
"js3-node1";"2018-08-02T22:05:00-04:00";null
"js3-node1";"2018-08-02T22:05:20-04:00";null
"js3-node1";"2018-08-02T22:05:40-04:00";null
"js3-node1";"2018-08-02T22:06:00-04:00";null
"js3-node1";"2018-08-02T22:06:20-04:00";null
"js3-node1";"2018-08-02T22:06:40-04:00";0
"js3-node1";"2018-08-02T22:07:00-04:00";null
"js3-node1";"2018-08-02T22:07:20-04:00";null
"js3-node1";"2018-08-02T22:07:40-04:00";null
"js3-node1";"2018-08-02T22:08:00-04:00";null
"js3-node1";"2018-08-02T22:08:20-04:00";null
"js3-node1";"2018-08-02T22:08:40-04:00";null
"js3-node1";"2018-08-02T22:09:00-04:00";null
"js3-node1";"2018-08-02T22:09:20-04:00";null
"js3-node1";"2018-08-02T22:09:40-04:00";0
"js3-node1";"2018-08-02T22:10:00-04:00";null
"js3-node1";"2018-08-02T22:10:20-04:00";null
"js3-node1";"2018-08-02T22:10:40-04:00";null
"js3-node1";"2018-08-02T22:11:00-04:00";null
"js3-node1";"2018-08-02T22:11:20-04:00";null
"js3-node1";"2018-08-02T22:11:40-04:00";null
"js3-node1";"2018-08-02T22:12:00-04:00";null
"js3-node1";"2018-08-02T22:12:20-04:00";null
"js3-node1";"2018-08-02T22:12:40-04:00";0
"js3-node1";"2018-08-02T22:13:00-04:00";null
"js3-node1";"2018-08-02T22:13:20-04:00";null
"js3-node1";"2018-08-02T22:13:40-04:00";null
"js3-node1";"2018-08-02T22:14:00-04:00";null
"js3-node1";"2018-08-02T22:14:20-04:00";null
"js3-node1";"2018-08-02T22:14:40-04:00";null
"js3-node1";"2018-08-02T22:15:00-04:00";null
"js3-node1";"2018-08-02T22:15:20-04:00";null
"js3-node1";"2018-08-02T22:15:40-04:00";0
"js3-node1";"2018-08-02T22:16:00-04:00";null
"js3-node1";"2018-08-02T22:16:20-04:00";null
"js3-node1";"2018-08-02T22:16:40-04:00";null
"js3-node1";"2018-08-02T22:17:00-04:00";null
"js3-node1";"2018-08-02T22:17:20-04:00";null
"js3-node1";"2018-08-02T22:17:40-04:00";null
"js3-node1";"2018-08-02T22:18:00-04:00";null
"js3-node1";"2018-08-02T22:18:20-04:00";null
"js3-node1";"2018-08-02T22:18:40-04:00";0
"js3-node1";"2018-08-02T22:19:00-04:00";null
"js3-node1";"2018-08-02T22:19:20-04:00";null
"js3-node1";"2018-08-02T22:19:40-04:00";null
"js3-node1";"2018-08-02T22:20:00-04:00";null
"js3-node1";"2018-08-02T22:20:20-04:00";null
"js3-node1";"2018-08-02T22:20:40-04:00";null
"js3-node1";"2018-08-02T22:21:00-04:00";null
"js3-node1";"2018-08-02T22:21:20-04:00";null
"js3-node1";"2018-08-02T22:21:40-04:00";0
"js3-node1";"2018-08-02T22:22:00-04:00";null
