"Series";"Time";"Value"
"js3-node1";"2018-08-10T11:54:20-04:00";null
"js3-node1";"2018-08-10T11:54:40-04:00";null
"js3-node1";"2018-08-10T11:55:00-04:00";null
"js3-node1";"2018-08-10T11:55:20-04:00";null
"js3-node1";"2018-08-10T11:55:40-04:00";null
"js3-node1";"2018-08-10T11:56:00-04:00";null
"js3-node1";"2018-08-10T11:56:20-04:00";null
"js3-node1";"2018-08-10T11:56:40-04:00";null
"js3-node1";"2018-08-10T11:57:00-04:00";0
"js3-node1";"2018-08-10T11:57:20-04:00";null
"js3-node1";"2018-08-10T11:57:40-04:00";null
"js3-node1";"2018-08-10T11:58:00-04:00";null
"js3-node1";"2018-08-10T11:58:20-04:00";null
"js3-node1";"2018-08-10T11:58:40-04:00";null
"js3-node1";"2018-08-10T11:59:00-04:00";null
"js3-node1";"2018-08-10T11:59:20-04:00";null
"js3-node1";"2018-08-10T11:59:40-04:00";null
"js3-node1";"2018-08-10T12:00:00-04:00";0
"js3-node1";"2018-08-10T12:00:20-04:00";null
"js3-node1";"2018-08-10T12:00:40-04:00";null
"js3-node1";"2018-08-10T12:01:00-04:00";null
"js3-node1";"2018-08-10T12:01:20-04:00";null
"js3-node1";"2018-08-10T12:01:40-04:00";null
"js3-node1";"2018-08-10T12:02:00-04:00";null
"js3-node1";"2018-08-10T12:02:20-04:00";null
"js3-node1";"2018-08-10T12:02:40-04:00";null
"js3-node1";"2018-08-10T12:03:00-04:00";0.01
"js3-node1";"2018-08-10T12:03:20-04:00";null
"js3-node1";"2018-08-10T12:03:40-04:00";null
"js3-node1";"2018-08-10T12:04:00-04:00";null
"js3-node1";"2018-08-10T12:04:20-04:00";null
"js3-node1";"2018-08-10T12:04:40-04:00";null
"js3-node1";"2018-08-10T12:05:00-04:00";null
"js3-node1";"2018-08-10T12:05:20-04:00";null
"js3-node1";"2018-08-10T12:05:40-04:00";null
"js3-node1";"2018-08-10T12:06:00-04:00";0
"js3-node1";"2018-08-10T12:06:20-04:00";null
"js3-node1";"2018-08-10T12:06:40-04:00";null
"js3-node1";"2018-08-10T12:07:00-04:00";null
"js3-node1";"2018-08-10T12:07:20-04:00";null
"js3-node1";"2018-08-10T12:07:40-04:00";null
"js3-node1";"2018-08-10T12:08:00-04:00";null
"js3-node1";"2018-08-10T12:08:20-04:00";null
"js3-node1";"2018-08-10T12:08:40-04:00";null
"js3-node1";"2018-08-10T12:09:00-04:00";0
"js3-node1";"2018-08-10T12:09:20-04:00";null
"js3-node1";"2018-08-10T12:09:40-04:00";null
"js3-node1";"2018-08-10T12:10:00-04:00";null
"js3-node1";"2018-08-10T12:10:20-04:00";null
"js3-node1";"2018-08-10T12:10:40-04:00";null
"js3-node1";"2018-08-10T12:11:00-04:00";null
"js3-node1";"2018-08-10T12:11:20-04:00";null
"js3-node1";"2018-08-10T12:11:40-04:00";null
"js3-node1";"2018-08-10T12:12:00-04:00";0
"js3-node1";"2018-08-10T12:12:20-04:00";null
"js3-node1";"2018-08-10T12:12:40-04:00";null
"js3-node1";"2018-08-10T12:13:00-04:00";null
"js3-node1";"2018-08-10T12:13:20-04:00";null
"js3-node1";"2018-08-10T12:13:40-04:00";null
"js3-node1";"2018-08-10T12:14:00-04:00";null
"js3-node1";"2018-08-10T12:14:20-04:00";null
"js3-node1";"2018-08-10T12:14:40-04:00";null
"js3-node1";"2018-08-10T12:15:00-04:00";0
"js3-node1";"2018-08-10T12:15:20-04:00";null
"js3-node1";"2018-08-10T12:15:40-04:00";null
"js3-node1";"2018-08-10T12:16:00-04:00";null
"js3-node1";"2018-08-10T12:16:20-04:00";null
"js3-node1";"2018-08-10T12:16:40-04:00";null
"js3-node1";"2018-08-10T12:17:00-04:00";null
"js3-node1";"2018-08-10T12:17:20-04:00";null
"js3-node1";"2018-08-10T12:17:40-04:00";null
"js3-node1";"2018-08-10T12:18:00-04:00";0
"js3-node1";"2018-08-10T12:18:20-04:00";null
"js3-node1";"2018-08-10T12:18:40-04:00";null
"js3-node1";"2018-08-10T12:19:00-04:00";null
"js3-node1";"2018-08-10T12:19:20-04:00";null
"js3-node1";"2018-08-10T12:19:40-04:00";null
"js3-node1";"2018-08-10T12:20:00-04:00";null
"js3-node1";"2018-08-10T12:20:20-04:00";null
"js3-node1";"2018-08-10T12:20:40-04:00";null
"js3-node1";"2018-08-10T12:21:00-04:00";0
"js3-node1";"2018-08-10T12:21:20-04:00";null
"js3-node1";"2018-08-10T12:21:40-04:00";null
"js3-node1";"2018-08-10T12:22:00-04:00";null
"js3-node1";"2018-08-10T12:22:20-04:00";null
"js3-node1";"2018-08-10T12:22:40-04:00";null
"js3-node1";"2018-08-10T12:23:00-04:00";null
"js3-node1";"2018-08-10T12:23:20-04:00";null
"js3-node1";"2018-08-10T12:23:40-04:00";null
"js3-node1";"2018-08-10T12:24:00-04:00";0
"js3-node1";"2018-08-10T12:24:20-04:00";null
"js3-node1";"2018-08-10T12:24:40-04:00";null
"js3-node1";"2018-08-10T12:25:00-04:00";null
"js3-node1";"2018-08-10T12:25:20-04:00";null
"js3-node1";"2018-08-10T12:25:40-04:00";null
"js3-node1";"2018-08-10T12:26:00-04:00";null
"js3-node1";"2018-08-10T12:26:20-04:00";null
"js3-node1";"2018-08-10T12:26:40-04:00";null
"js3-node1";"2018-08-10T12:27:00-04:00";0
"js3-node1";"2018-08-10T12:27:20-04:00";null
"js3-node1";"2018-08-10T12:27:40-04:00";null
"js3-node1";"2018-08-10T12:28:00-04:00";null
"js3-node1";"2018-08-10T12:28:20-04:00";null
"js3-node1";"2018-08-10T12:28:40-04:00";null
"js3-node1";"2018-08-10T12:29:00-04:00";null
"js3-node1";"2018-08-10T12:29:20-04:00";null
"js3-node1";"2018-08-10T12:29:40-04:00";null
"js3-node1";"2018-08-10T12:30:00-04:00";0
"js3-node1";"2018-08-10T12:30:20-04:00";null
"js3-node1";"2018-08-10T12:30:40-04:00";null
"js3-node1";"2018-08-10T12:31:00-04:00";null
"js3-node1";"2018-08-10T12:31:20-04:00";null
"js3-node1";"2018-08-10T12:31:40-04:00";null
"js3-node1";"2018-08-10T12:32:00-04:00";null
"js3-node1";"2018-08-10T12:32:20-04:00";null
"js3-node1";"2018-08-10T12:32:40-04:00";null
"js3-node1";"2018-08-10T12:33:00-04:00";0
"js3-node1";"2018-08-10T12:33:20-04:00";null
"js3-node1";"2018-08-10T12:33:40-04:00";null
"js3-node1";"2018-08-10T12:34:00-04:00";null
"js3-node1";"2018-08-10T12:34:20-04:00";null
"js3-node1";"2018-08-10T12:34:40-04:00";null
"js3-node1";"2018-08-10T12:35:00-04:00";null
"js3-node1";"2018-08-10T12:35:20-04:00";null
"js3-node1";"2018-08-10T12:35:40-04:00";null
"js3-node1";"2018-08-10T12:36:00-04:00";0
"js3-node1";"2018-08-10T12:36:20-04:00";null
"js3-node1";"2018-08-10T12:36:40-04:00";null
"js3-node1";"2018-08-10T12:37:00-04:00";null
"js3-node1";"2018-08-10T12:37:20-04:00";null
"js3-node1";"2018-08-10T12:37:40-04:00";null
"js3-node1";"2018-08-10T12:38:00-04:00";null
"js3-node1";"2018-08-10T12:38:20-04:00";null
"js3-node1";"2018-08-10T12:38:40-04:00";null
"js3-node1";"2018-08-10T12:39:00-04:00";0
"js3-node1";"2018-08-10T12:39:20-04:00";null
"js3-node1";"2018-08-10T12:39:40-04:00";null
"js3-node1";"2018-08-10T12:40:00-04:00";null
"js3-node1";"2018-08-10T12:40:20-04:00";null
"js3-node1";"2018-08-10T12:40:40-04:00";null
"js3-node1";"2018-08-10T12:41:00-04:00";null
