"Series";"Time";"Value"
"js3-node1";"2018-08-04T22:00:30-04:00";0
"js3-node1";"2018-08-04T22:01:00-04:00";null
"js3-node1";"2018-08-04T22:01:30-04:00";null
"js3-node1";"2018-08-04T22:02:00-04:00";null
"js3-node1";"2018-08-04T22:02:30-04:00";null
"js3-node1";"2018-08-04T22:03:00-04:00";null
"js3-node1";"2018-08-04T22:03:30-04:00";0
"js3-node1";"2018-08-04T22:04:00-04:00";null
"js3-node1";"2018-08-04T22:04:30-04:00";null
"js3-node1";"2018-08-04T22:05:00-04:00";null
"js3-node1";"2018-08-04T22:05:30-04:00";null
"js3-node1";"2018-08-04T22:06:00-04:00";null
"js3-node1";"2018-08-04T22:06:30-04:00";0
"js3-node1";"2018-08-04T22:07:00-04:00";null
"js3-node1";"2018-08-04T22:07:30-04:00";null
"js3-node1";"2018-08-04T22:08:00-04:00";null
"js3-node1";"2018-08-04T22:08:30-04:00";null
"js3-node1";"2018-08-04T22:09:00-04:00";null
"js3-node1";"2018-08-04T22:09:30-04:00";0
"js3-node1";"2018-08-04T22:10:00-04:00";null
"js3-node1";"2018-08-04T22:10:30-04:00";null
"js3-node1";"2018-08-04T22:11:00-04:00";null
"js3-node1";"2018-08-04T22:11:30-04:00";null
"js3-node1";"2018-08-04T22:12:00-04:00";null
"js3-node1";"2018-08-04T22:12:30-04:00";0
"js3-node1";"2018-08-04T22:13:00-04:00";null
"js3-node1";"2018-08-04T22:13:30-04:00";null
"js3-node1";"2018-08-04T22:14:00-04:00";null
"js3-node1";"2018-08-04T22:14:30-04:00";null
"js3-node1";"2018-08-04T22:15:00-04:00";null
"js3-node1";"2018-08-04T22:15:30-04:00";0
"js3-node1";"2018-08-04T22:16:00-04:00";null
"js3-node1";"2018-08-04T22:16:30-04:00";null
"js3-node1";"2018-08-04T22:17:00-04:00";null
"js3-node1";"2018-08-04T22:17:30-04:00";null
"js3-node1";"2018-08-04T22:18:00-04:00";null
"js3-node1";"2018-08-04T22:18:30-04:00";0
"js3-node1";"2018-08-04T22:19:00-04:00";null
"js3-node1";"2018-08-04T22:19:30-04:00";null
"js3-node1";"2018-08-04T22:20:00-04:00";null
"js3-node1";"2018-08-04T22:20:30-04:00";null
"js3-node1";"2018-08-04T22:21:00-04:00";null
"js3-node1";"2018-08-04T22:21:30-04:00";0
"js3-node1";"2018-08-04T22:22:00-04:00";null
"js3-node1";"2018-08-04T22:22:30-04:00";null
"js3-node1";"2018-08-04T22:23:00-04:00";null
"js3-node1";"2018-08-04T22:23:30-04:00";null
"js3-node1";"2018-08-04T22:24:00-04:00";null
"js3-node1";"2018-08-04T22:24:30-04:00";0
"js3-node1";"2018-08-04T22:25:00-04:00";null
"js3-node1";"2018-08-04T22:25:30-04:00";null
"js3-node1";"2018-08-04T22:26:00-04:00";null
"js3-node1";"2018-08-04T22:26:30-04:00";null
"js3-node1";"2018-08-04T22:27:00-04:00";null
"js3-node1";"2018-08-04T22:27:30-04:00";0.01
"js3-node1";"2018-08-04T22:28:00-04:00";null
"js3-node1";"2018-08-04T22:28:30-04:00";null
"js3-node1";"2018-08-04T22:29:00-04:00";null
"js3-node1";"2018-08-04T22:29:30-04:00";null
"js3-node1";"2018-08-04T22:30:00-04:00";null
"js3-node1";"2018-08-04T22:30:30-04:00";0
"js3-node1";"2018-08-04T22:31:00-04:00";null
"js3-node1";"2018-08-04T22:31:30-04:00";null
"js3-node1";"2018-08-04T22:32:00-04:00";null
"js3-node1";"2018-08-04T22:32:30-04:00";null
"js3-node1";"2018-08-04T22:33:00-04:00";null
"js3-node1";"2018-08-04T22:33:30-04:00";0
"js3-node1";"2018-08-04T22:34:00-04:00";null
"js3-node1";"2018-08-04T22:34:30-04:00";null
"js3-node1";"2018-08-04T22:35:00-04:00";null
"js3-node1";"2018-08-04T22:35:30-04:00";null
"js3-node1";"2018-08-04T22:36:00-04:00";null
"js3-node1";"2018-08-04T22:36:30-04:00";0
"js3-node1";"2018-08-04T22:37:00-04:00";null
"js3-node1";"2018-08-04T22:37:30-04:00";null
"js3-node1";"2018-08-04T22:38:00-04:00";null
"js3-node1";"2018-08-04T22:38:30-04:00";null
"js3-node1";"2018-08-04T22:39:00-04:00";null
"js3-node1";"2018-08-04T22:39:30-04:00";0
"js3-node1";"2018-08-04T22:40:00-04:00";null
"js3-node1";"2018-08-04T22:40:30-04:00";null
"js3-node1";"2018-08-04T22:41:00-04:00";null
"js3-node1";"2018-08-04T22:41:30-04:00";null
"js3-node1";"2018-08-04T22:42:00-04:00";null
"js3-node1";"2018-08-04T22:42:30-04:00";0
"js3-node1";"2018-08-04T22:43:00-04:00";null
"js3-node1";"2018-08-04T22:43:30-04:00";null
"js3-node1";"2018-08-04T22:44:00-04:00";null
"js3-node1";"2018-08-04T22:44:30-04:00";null
"js3-node1";"2018-08-04T22:45:00-04:00";null
"js3-node1";"2018-08-04T22:45:30-04:00";0
"js3-node1";"2018-08-04T22:46:00-04:00";null
"js3-node1";"2018-08-04T22:46:30-04:00";null
"js3-node1";"2018-08-04T22:47:00-04:00";null
"js3-node1";"2018-08-04T22:47:30-04:00";null
"js3-node1";"2018-08-04T22:48:00-04:00";null
"js3-node1";"2018-08-04T22:48:30-04:00";0
"js3-node1";"2018-08-04T22:49:00-04:00";null
"js3-node1";"2018-08-04T22:49:30-04:00";null
"js3-node1";"2018-08-04T22:50:00-04:00";null
"js3-node1";"2018-08-04T22:50:30-04:00";null
"js3-node1";"2018-08-04T22:51:00-04:00";null
"js3-node1";"2018-08-04T22:51:30-04:00";0
"js3-node1";"2018-08-04T22:52:00-04:00";null
"js3-node1";"2018-08-04T22:52:30-04:00";null
"js3-node1";"2018-08-04T22:53:00-04:00";null
"js3-node1";"2018-08-04T22:53:30-04:00";null
"js3-node1";"2018-08-04T22:54:00-04:00";null
"js3-node1";"2018-08-04T22:54:30-04:00";0
"js3-node1";"2018-08-04T22:55:00-04:00";null
"js3-node1";"2018-08-04T22:55:30-04:00";null
"js3-node1";"2018-08-04T22:56:00-04:00";null
"js3-node1";"2018-08-04T22:56:30-04:00";null
"js3-node1";"2018-08-04T22:57:00-04:00";null
"js3-node1";"2018-08-04T22:57:30-04:00";0.02
